Timestamp,TestName,ArraySize,ArrayType,Time(ns),Comparisons,Swaps,ArrayAccesses,MemoryAllocations
2025-09-30 22:59:33,JUnit_Test,5,TestData,0,10,7,37,20
2025-09-30 23:05:48,Full_Report_Random,100,Random,336900,2211,2098,6723,400
2025-09-30 23:05:48,Full_Report_Sorted,100,Sorted,13700,198,0,396,400
2025-09-30 23:05:48,Full_Report_ReverseSorted,100,ReverseSorted,476900,4961,4950,15169,400
2025-09-30 23:05:48,Full_Report_AlmostSorted,100,AlmostSorted,58200,581,418,1780,400
2025-09-30 23:05:48,Full_Report_Random,500,Random,1537900,62798,62209,188812,2000
2025-09-30 23:05:48,Full_Report_Sorted,500,Sorted,58700,998,0,1996,2000
2025-09-30 23:05:48,Full_Report_ReverseSorted,500,ReverseSorted,1317500,124801,124750,375849,2000
2025-09-30 23:05:48,Full_Report_AlmostSorted,500,AlmostSorted,340300,13531,12754,40814,2000
2025-09-30 23:05:48,Full_Report_Random,1000,Random,556700,243537,242343,731418,4000
2025-09-30 23:05:48,Full_Report_Sorted,1000,Sorted,132100,1998,0,3996,4000
2025-09-30 23:05:48,Full_Report_ReverseSorted,1000,ReverseSorted,848100,499601,499500,1501699,4000
2025-09-30 23:05:48,Full_Report_AlmostSorted,1000,AlmostSorted,118900,58495,56876,175864,4000
2025-09-30 23:05:48,Full_Report_Random,2000,Random,2166900,1005200,1002801,3017205,8000
2025-09-30 23:05:48,Full_Report_Sorted,2000,Sorted,188200,3998,0,7996,8000
2025-09-30 23:05:48,Full_Report_ReverseSorted,2000,ReverseSorted,2738200,1999201,1999000,6003399,8000
2025-09-30 23:05:48,Full_Report_AlmostSorted,2000,AlmostSorted,396200,235238,232036,706510,8000
2025-09-30 23:05:48,Full_Report_Random,5000,Random,8804800,6347749,6341784,19047288,20000
2025-09-30 23:05:48,Full_Report_Sorted,5000,Sorted,501500,9998,0,19996,20000
2025-09-30 23:05:48,Full_Report_ReverseSorted,5000,ReverseSorted,17238100,12498001,12497500,37508499,20000
2025-09-30 23:05:48,Full_Report_AlmostSorted,5000,AlmostSorted,2324800,1445008,1437012,4337026,20000
2025-10-01 00:42:45,SelectionSort_Test,5,TestData,1000,7,1,18,20
2025-10-01 00:44:20,SelectionSort_Test,5,TestData,1000,16,3,44,20
2025-10-01 01:11:54,Random_Array,100,Random,726100,2405,2287,7297,400
2025-10-01 01:11:54,Sorted_Array,100,Sorted,19700,198,0,396,400
2025-10-01 01:11:54,Reverse_Array,100,ReverseSorted,781500,4961,4950,15169,400
2025-10-01 01:11:54,AlmostSorted_Array,100,AlmostSorted,139600,1024,862,3108,400
2025-10-01 01:11:54,Random_Array,500,Random,1078600,63315,62725,190361,2000
2025-10-01 01:11:54,Sorted_Array,500,Sorted,91000,998,0,1996,2000
2025-10-01 01:11:54,Reverse_Array,500,ReverseSorted,1931500,124801,124750,375849,2000
2025-10-01 01:11:54,AlmostSorted_Array,500,AlmostSorted,377200,13899,13090,41886,2000
2025-10-01 01:11:54,Random_Array,1000,Random,764700,254865,253689,765426,4000
2025-10-01 01:11:54,Sorted_Array,1000,Sorted,164200,1998,0,3996,4000
2025-10-01 01:11:54,Reverse_Array,1000,ReverseSorted,1082400,499601,499500,1501699,4000
2025-10-01 01:11:54,AlmostSorted_Array,1000,AlmostSorted,377500,62429,60824,187680,4000
2025-10-01 01:11:54,Random_Array,5000,Random,11735700,6281459,6275470,18848395,20000
2025-10-01 01:11:54,Sorted_Array,5000,Sorted,762200,9998,0,19996,20000
2025-10-01 01:11:54,Reverse_Array,5000,ReverseSorted,23422600,12498001,12497500,37508499,20000
2025-10-01 01:11:54,AlmostSorted_Array,5000,AlmostSorted,2995500,1442902,1434834,4330638,20000
2025-10-01 01:12:05,Full_Report_Random,100,Random,11200,2407,2288,7302,400
2025-10-01 01:12:05,Full_Report_Sorted,100,Sorted,23400,198,0,396,400
2025-10-01 01:12:05,Full_Report_ReverseSorted,100,ReverseSorted,18600,4961,4950,15169,400
2025-10-01 01:12:05,Full_Report_AlmostSorted,100,AlmostSorted,11900,955,796,2904,400
2025-10-01 01:12:05,Full_Report_Random,500,Random,206300,63864,63273,192003,2000
2025-10-01 01:12:05,Full_Report_Sorted,500,Sorted,108900,998,0,1996,2000
2025-10-01 01:12:05,Full_Report_ReverseSorted,500,ReverseSorted,370100,124801,124750,375849,2000
2025-10-01 01:12:05,Full_Report_AlmostSorted,500,AlmostSorted,72800,16508,15682,49696,2000
2025-10-01 01:12:05,Full_Report_Random,1000,Random,893800,253028,251834,759897,4000
2025-10-01 01:12:05,Full_Report_Sorted,1000,Sorted,204200,1998,0,3996,4000
2025-10-01 01:12:05,Full_Report_ReverseSorted,1000,ReverseSorted,1107100,499601,499500,1501699,4000
2025-10-01 01:12:05,Full_Report_AlmostSorted,1000,AlmostSorted,186200,66056,64450,198562,4000
2025-10-01 01:12:05,Full_Report_Random,2000,Random,2155400,1013226,1010819,3041275,8000
2025-10-01 01:12:05,Full_Report_Sorted,2000,Sorted,382100,3998,0,7996,8000
2025-10-01 01:12:05,Full_Report_ReverseSorted,2000,ReverseSorted,4471400,1999201,1999000,6003399,8000
2025-10-01 01:12:05,Full_Report_AlmostSorted,2000,AlmostSorted,754100,243317,240126,730758,8000
2025-10-01 01:12:05,Full_Report_Random,5000,Random,12965000,6173566,6167594,18524729,20000
